kod	nazev
51563	Ostatni laktony
51569	Heterocyklicke slouceniny s kyslikovym heteroatomem
5157	Ostatní heterocyklické sloučeniny; kyseliny nukleové
51571	Heterocyklicke slouceniny s dusikovym heteroatomem
51572	Hydantoin, derivaty
51573	Ostatni heterocylicke slouceniny
51574	Slouceniny s dusik. heteroatomem, s pyridin. kruhem
51575	Slouceniny s dusik. heteroatomem s chinolinovym syst.
51576	Slouceniny s dusik. heteroatomem, s pyrimidin. kruhem
51577	Ost. heterocyklicke slouceniny s dusikovym heteroat.
51578	Heterocykl. slouceniny s fenotiazovym kruhovym syst.
51579	Heterocyklicke slouceniny, j.n.
5158	Sulfonamidy
516	Chemikálie organické ostatní
5161	Etery, alkoholperoxidy, eterperoxidy, epoxidy apod.
51612	Acetaly, polyacetaly, derivaty
51613	Oxiran (etylenoxid)
51614	Metyloxiran (propylenoxid)
51615	Ostatni epoxidy, epoxyalkoholy, epoxyfenoly apod.
51616	Acyklicke, cyklanove, cyklenove, aromaticke aj. etery
51617	Eteralkoholy, eterfenoly, eteralkoholfenoly apod.
5162	Sloučeniny s aldehydovou, ketonovou aj. funkční skup.
51621	Acyklicke aldehydy bez dalsi kyslikove funkcni sk.
51622	Ost. aldehydy, cyklicke polymery, paraformaldehyd
51623	Aceton
51624	Butanon (etylmetylketon)
51625	Ost. acyklicke ketony bez dalsi kyslikove funkcni sk.
51626	Halogenovane aj. derivaty produktu 516.21, 516.22
51627	Kafr
51628	Ostatni cyklanove, cyklenove, cykloterpenove ketony
51629	Aromaticke ketony, chinany, derivaty
5163	Estery, anorganické kyseliny, soli, deriváty
51631	Fosforecne estery, soli, halogenovane aj. derivaty
51639	Estery, jine anorganicke kyseliny, soli, derivaty
5169	Organické chemikálie, j.n.
51691	Enzymy, pripravene enzymy, j.n.
51692	Cukry chemicky ciste, etery, estery cukru, soli
51699	Ostatni organicke slouceniny
52	Anorganické chemikálie
522	Prvky, kysličníky anorganické chemické, soli halové
5221	Uhlík (vč. sazí), j.n.
5222	Ostatní chemické prvky
52221	Vodik, vzacne plyny, dusik, kyslik
52222	Selen, telur, fosfor, arsen, bor
52223	Kremik
52224	Chlor
52225	Fluor, brom, jod
52226	Sira, sublimovana, precipitovana, koloidni sira
52227	Rtut
52228	Sodik, ostatni alkalicke kovy
52229	Vapnik, stroncium, baryum, skandium, yttrium apod.
5223	Anorg. kyseliny a anorg. sloučeniny kysličníku nekovů
52231	Chlorovodik, kyselina chlorsulfonova
52232	Kyselina sirova, oleum
52233	Kyselina dusicna, kyseliny sulfodusicne
52234	Kyslicnik fosforecny; kyselina fosforecna
52235	Kyslicnik boru, kyselina borita
52236	Ostatni anorganicke kyseliny
52237	Kyslicnik kremicity
52239	Ostatni anorganicke slouceniny kyslicniku nekovu
5224	Halové nebo sirné sloučeniny nekovů
52241	Halogenidy, halogenid-oxidy nekovu
52242	Sirniky nekovu, komercni sulfid fosfority
5225	Kysličníky zinku, chromu, manganu, železa, olova ap.
52251	Kyslicnik zinecnaty, peroxid zinecnaty
52252	Kyslicniky, hydroxidy chromu
52253	Kyslicnik manganu
52254	Kyslicniky, hydroxidy zeleza, barevne hlinky nad 70 %
52255	Kyslicniky, hydroxidy kobaltu
52256	Kyslicniky titanu
52257	Kyslicniky olova, surik cerveny, oranzovy
5226	Ost.anorg. zásady a kysličníky, hydroxidy a peroxidy
52261	Cpavek, bezvody, ve vodnem roztoku
52262	Hydroxid sodny (kausticka soda), v tuhem stavu
52263	Hydroxid sodny ve vodnem roztoku
52264	Hydroxid draselny, peroxidy sodiku, drasliku
52265	Oxid, hydroxid, peroxid stroncia, barya
52266	Hydroxid hlinity
52267	Umely korund
52268	Hydrazin, hydroxylamin, organicke soli
52269	Ostatni anorganicke zasady, ost. kyslicniky ap. kovu
523	Soli kovové, peroxosoli kyselin anorganických
5231	Fluoridy, fluorohlinitany, ost. komplexní soli flóru
5232	Kysličníky chlóru, bromu, jódu, bromidy, jodidy ap.
52321	Chlorid amonny
52322	Chlorid vapenaty
52329	Ost. kyslicniky chloru, bromu, jodu, bromidy, jodidy
5233	Chlornany, bromnany, jodičnany, bromaty, chloritany
52331	Chlornany, chloritany, bromnany
52332	Chlorecnan sodny
52339	Ostatni chloraty, bromaty, jodicnany, perbromaty ap.
5234	Sirníky, polysulfidy, hydrosiricitany, siřičitany atd
52341	Sirnik sodny
52342	Ostatni sirniky, polysulfidy
52343	Hydrosiricitany, sulfoxylaty
52344	Siricitany, sirnatany
52345	Siran sodny
52349	Ostatni sirany
5235	Dusitany, dusičnany
52351	Dusitany
52352	Dusicnan draselny
52359	Ostatni dusicnany
5236	Fosforitany, fosfornany, fosforečnany a polyfosfáty
52361	Fosforitany, fosfornany
52363	Ostatni fosforecnany
52364	Trifosforecnan sodny
52365	Ostatni polyfosfaty
5237	Uhličitany, perkarbonáty
52372	Uhlicitan sodny neutralni
52373	Bikarbonit sodny
52374	Uhlicitan draselny
52379	Ostatni uhlicitany
5238	Ost. metalické soli, peroxysoli anorganických kyselin
52381	Kyanidy, kyanidoxidy a komplexni kyanidy
52383	Kremicitany, technicke kremicitany alkalickych kovu
52384	Boritany, perboritany
52389	Soli, peroxysoli anorganickych kyselin, j.n.
524	Chemikálie anorganické ost., sloučeniny kovů drahých
5243	Soli kyselin kovů; sloučeniny drahých kovů
52431	Soli oxometalickych, peroxometalickych kyselin
52432	Koloidni drahe kovy, amalgamy drahych kovu aj.
5249	Anorganické chemické látky, j.n.
52491	Peroxid vodiku, vc. tuheho s mocovinou
52492	Fosfidy, pr. chemicky definovane (ne ferofosfor)
52493	Karbid vapniku, pr. chemicky definovany
52494	Karbidy (ne karbid vapniku), pr. chemicky definovane
52495	Hydridy, nitridy, azidy, silicidy, boridy
52496	Sloučeniny rtuti, anorganické i organické, kromě amalgamů
52499	Anorgan. slouceniny, j.n., zkapalneny, stlac. vzduch
525	Materiály radioaktivní a příbuzné
5251	Radioaktivní chemické prvky, izotopy, sloučeniny
52511	Prirodni uran, slouceniny, slitiny, disperze apod.
52513	Uran obohaceny o U235, plutonium, slouceniny, slitiny
52515	Uran ochuzeny o U235, thorium, slouceniny, slitiny
52517	Vyhorele palivove clanky (kazety) jadernych reaktoru
52519	Radioaktivni prvky, izotopy, slouceniny, j.n.
5259	Neaktivní izotopy, sloučeniny
52591	Izotopy (ne 525.1), slouceniny, pr. chem. definovane
52595	Anorganicke, organicke slouceniny kovu vzacnych zemin
53	Barviva, třisloviny a pigmenty
531	Barviva organická syntetická, mořidla barvící
5311	Syntetická organická barviva
53111	Disperzni barviva, vyrobky na nich zalozene
53112	Kysela, moridlova barviva, vyrobky na nich zalozene
53113	Zasadita barviva, vyrobky na nich zalozene
53114	Prima barviva, vyrobky na nich zalozene
53115	Kypova barviva, vyrobky na nich zalozene
53116	Reaktivni barviva, vyrobky na nich zalozene
53117	Pigmenty, vyrobky na nich zalozene
53119	Ostatni synteticka organicka barviva
5312	Zjasňující prostředky, luminofory, barvící mořidla
53121	Zjasnujici prostredky, luminofory, pr. chem. definov.
53122	Prirodni moridla, vyrobky na nich zalozene
532	Výtažky barvířské a tříslicí, třísloviny syntetické
5322	Tříslící výtažky rostlinného původu; taniny
53221	Trislici vytazky rostlinneho puvodu, taniny, soli ap.
53222	Barviva rostlinneho, zivocisneho puvodu, vyrobky
5323	Třísloviny, tříslící, enzymatické přípravky
53231	Synteticke organicke trislici latky
53232	Anorganicke trislici latky, enzymaticke pripravky
533	Pigmenty, hmoty, laky nátěrové a příbuzné materiály
5331	Ost. barviva; anorg. produkty jako luminofory apod.
53311	Pigmenty, vyrobky na bazi kyslicniku titaniciteho
53312	Pigmenty, vyrobky na bazi sloucenin chromu
53314	Ultramarin, vyrobky na jeho bazi
53315	Lithopon, ost. pigmenty, vyr. na bazi sirniku zinku
53317	Barviva, ostatni vyrobky, j.n.
53318	Anorganicke produkty uzivane jako luminofory
5332	Tisková barva
53321	Tiskova barva cerna
53329	Tiskova barva jina
5334	Nátěrové hmoty a laky
53341	Naterove hmoty, laky na bazi polymeru
53342	Naterove hmoty, laky na bazi polymeru
53343	Ostatni naterove hmoty, laky, vodni pigmenty
53344	Pigmenty, disperze v nevodnem mediu,folie obtiskovaci
5335	Barvicí přípravky v průmyslu skla a keramiky
53351	Hotove pigmenty, kalidla, barvy, vypalovaci emaily ap
53352	Barvy pro umelecke, skolni, reklamni ucely, zabavu ap
53353	Hotove sikativy
53354	Tmel sklarsky, pryskyricny, tesnici, mastixy apod.
53355	Organicka kompozitni rozpoustedla, redidla, j.n.
54	Léčiva a farmaceutické výrobky
541	Léčiva, výr. farmaceut. (ne antibiotika, hormony ap.)
5411	Provitaminy a vitaminy
54112	Vitaminy A, jejich derivaty, nemichane
54113	Vitaminy B, jejich derivaty, nemichane
54114	Vitamin C, jeho derivaty, nemichane
54115	Vitamin E, jeho derivaty, nemichane
54116	Ostatni vitaminy, jejich derivaty, nemichane
54117	Vzajemne kombinace provitaminu a vitaminu
5413	Antibiotika, nemajicí charakter léčiv
54131	Peniciliny, jejich derivaty
54132	Streptomyciny, jejich derivaty, soli
54133	Tetracykliny, jejich derivaty, soli
54139	Ostatni antibiotika
5414	Rostlinné alkaloidy, jejich soli, etery, estery apod.
54141	Alkaloidy opia, jejich derivaty, soli
54142	Alkaloidy chinovniku, jejich derivaty, soli
54143	Kofein, jeho soli
54144	Efedriny, jejich soli
54145	Theofylin, aminofylin, jejich derivaty, soli
54146	Alkaloidy zitneho namelu, jejich derivaty, soli
54149	Ostatni rostlinne alkaloidy, soli, derivaty j.n.
5415	Hormony, deriváty a steroidy užívané jako hormony
54153	Steroidní hormony, jejich deriváty a strukturní analoga
54154	Polypeptidové, proteinové a glykoproteinové hormony, jejich deriváty a strukturní analoga
54155	Katecholamenové hormony, jejich deriváty a strukturní analoga
54156	Prostaglandiny, tromboxany a leukotrieny, jejich deriváty a strukturní analoga
54159	Ostatní hormony, deriváty, analoga, ostatní steroidy užívané jako hormony
5416	Glykosidy; léčebné žlázy nebo jiné orgány
54161	Glykosidy, soli, etery, estery, ostatni derivaty
54162	Lecebne zlazy, ost. organy pro organoterapeut. ucely
54163	Antisera, ostatni slozky krve, vakciny
54164	Krev lidska, zvireci, toxiny, mikroorganismy
5419	Farmaceutické výrobky, jiné než léčiva
54191	Vata, gaza, obvazove ap. materialy, j.n.
54192	Cinidla na zjistovani krevni skupiny
54193	Zakalujici pripravky k rtg vysetreni, diagnost. cidla
54199	Ostatni farmaceuticke vyrobky
542	Léčiva (vč. léčiv veterinárních)
5421	Léčiva obsahující antibiotika, deriváty z nich
54211	Leciva obsahujici peniciliny, streptomyciny, derivaty
54212	Leciva obsahujici ostatni antibiotika
54213	Leciva obsahujici peniciliny, streptomyciny v davkach
54219	Leciva obsahujici ostatni antibiotika v davkach
5422	Léčiva obsahující hormony a deriváty, ne antibiotika
54221	Leciva obsahujici inzulin, ne v davkach
54222	Leciva obsahujici ost. hormony, theofylin, aminofylin
54223	Leciva obsahujici inzulin, v davkach
54224	Leciva obsahujici adrenokortihormony, v davkach
54229	Leciva obsahujici ostatni hormony, derivaty, steroidy
5423	Léčiva obsahující alkaloidy, deriváty z nich
54231	Leciva obsahujici alkaloidy, ne v merenych davkach
54232	Leciva obsahujici alkaloidy, v merenych davkach
5429	Léčiva, j.n.
54291	Leciva, j.n., ne v davkach
54292	Leciva obsahujici vitaminy, provitaminy, v davkach
54293	Leciva, j.n., v davkach
55	Silice a vonné látky; toaletní, leštící a čistící přípravky
551	Silice, parfémy a látky chuťové aromatické
5513	Silice, surové, čisté, termosety, koncentráty silic
55131	Silice citrusoveho ovoce
55132	Ostatni silice
55133	Termosety - vonne latky
55135	Koncentraty silic v tucich, olejich, voscich apod.
5514	Směsi vonných látek
55141	Smesi vonnych latek uziv. v prumyslu potravin, napoju
55149	Smesi vonnych latek ostatni
553	Voňavky, přípravky kosmetické a toaletní (bez mýdel)
5531	Voňavky a toaletní vody
5532	Přípravky pro pěči o pleť (bez léčebných)
5533	Přípravky pro péči o vlasy
5534	Přípravky pro ústní, zubní hygienu
5535	Holicí přípravky, kosmetické a toaletní potřeby
55351	Pripravky uzivane pred holenim, pri holeni a po nem
55352	Osobni deodoranty, antiperspiranty
55353	Vonne koupelove soli, dalsi koupelove pripravky
55354	Prostredky k navoneni, deodorizaci mistnosti
55359	Depilatory, pripravky toaletni, kosmeticke ap. j.n.
554	Mýdla, přípravky čistící a leštící
5541	Mýdlo, papír, vata, plsť ap. napuštěné mýdlem
55411	Mydlo, papir, vata aj. napustene, k toaletnim ucelum
55415	Mydlo, papir, vata aj. napustene, k jinym ucelum
55419	Mydlo v jine forme
5542	Organické detergenty s aktivním povrchem
55421	Organicke detergenty s aktivnim povrchem
55422	Praci, cistici prostredky, j.n., pro maloobchod
55423	Praci, cistici prostredky, j.n., ne pro maloobchod
5543	Lešticí prostředky, nezahrnující položky 598.3
55431	Lestidla, kremy ap. vyrobky na osetrovani obuvi, kuze
55432	Lestidla, kremy ap. na dreveny nabytek, podlahy apod.
55433	Lestidla ap. vyrobky na osetrovani vozu, ne na kov
55434	Pasty, prasky na drhnuti a ostatni podobne vyrobky
55435	Lestidla, kremy ap. vyrobky na osetrovani skla, kovu
56	Hnojiva umělá (jiná než ze skupiny 272)
562	Hnojiva umělá (ne hnojiva strojená surová)
5621	Hnojiva dusíkatá, mineralní nebo chemická
56211	Dusicnan amonny, pr. ve vodnem roztoku
56212	Kombinovane soli a smesi siranu, dusicnanu amonneho
56213	Siran amonny
56214	Kombinovane soli smesi dusicnanu vapenateho, amonneho
56216	Mocovina, pr. ve vodnem roztoku
56217	Smesi mocoviny a dusicnanu amonneho v roztoku
56219	Ostatni dusikata hnojiva (vc. smesi, j.n.)
5622	Hnojiva fosforečná
56222	Superfosfaty
56229	Hnojiva fosforecna, mineralni nebo chemicka, j.n.
5623	Hnojiva draselná, minerální nebo chemická
56231	Chlorid draselny
56232	Siran draselny
56239	Hnojiva draselna, mineralni, chemicka, j.n.
5629	Umělá hnojiva, j.n.
56291	Umela hnojiva, j.n.,obsahujici dusik, fosfor, draslik
56292	Mineralni, chemicka hnojiva obsahujici fosfor,draslik
56293	Stredni fosforecnan amonny (diamoniumfosfat)
56294	Kysely fosforecnan amonny, smesi
56295	Umela hnojiva, j.n., obsahujici dusik, fosfor
56296	Vyrobky 272.1, 272.2, 272.4, 562 v baleni do 10 kg
56299	Ostatni
57	Plasty v prvotní formě
571	Polymery etylénu v prvotní formě
5711	Polyetylen
57111	Polyetylen o specificke hmotnosti mene nez 0,94
57112	Polyetylen o specificke hmotnosti 0,94 a vice
5712	Kopolymery etylenvinylacetátu
5719	Ostatní polymery etylénu, v prvotní formě
572	Polymery styrénu v prvotní formě
5721	Polystyrén
57211	Polystyren roztazitelny
57219	Polystyren jiny
5729	Ostatní polyméry styrénu
57291	Kopolymery styrenakrylonitrilu (san)
57292	Kopolymery akrylonitrilbutadienstyrenu (abs)
57299	Ostatni polymery styrenu
573	Polymery vinylchloridu aj. olefínů halogenovaných
5731	Polyvinylchlorid
57311	Polyvinylchlorid, nesmichany s jinymi substancemi
57312	Polyvinylchlorid, jiny, nezmekceny
57313	Polyvinylchlorid, jiny, zmekceny
5739	Ost. kopolyméry vinychloridu, polyméry halog. olefinu
57391	Kopolymery vinylchloridu-vinylacetatu
57392	Ostatni kopolymery vinylchloridu
57393	Polymery vinyldenchloridu
57394	Fluorpolymery
57399	Ost. polymery vinylchloridu, halogenovanych olefinu
574	Polyacetáty, polyetery a pryskyřice epoxidové
5741	Polyacetáty, ostatní polyetery
57411	Polyacetaty
57419	Ostatni polyetery
5742	Epoxidové pryskyřice
5743	Polykarbonáty, alkydové pryskyřice a ost. polyestery
57431	Polykarbonaty
57432	Alkydove pryskyrice
57433	Polyetylentereftalat
57434	Ostatni polyestery, nenasycene
57439	Polyestery v prvotni forme, j.n.
575	Hmoty plastické ostatní v prvotních formách
5751	Polymery propylenu nebo ostatních olefinu
57511	Polypropylen
57512	Polyisobutylen
57513	Kopolymery propylenu
57519	Ostatni olefiny
5752	Akrylové polymery
57521	Polymetylmetakrylat
57529	Ostatni akrylove polymery
5753	Polyamidy
57531	Polyamid-6, -11, -12, -6,6, -6,9, -6,10, -6,12
57539	Ostatni polyamidy
5754	Aminopryskyřice, fenolové pryskyřice, polyuretany
57541	Mocovinove pryskyrice, thiomocovinova pryskyrice
57542	Melaminove pryskyrice
57543	Ostatni pryskyrice
57544	Fenolove pryskyrice
57545	Polyuretany
5755	Celulóza a její chemické deriváty, j.n.
57551	Acetatceluloza, nemekcena
57552	Acetatceluloza, mekcena
57553	Nitraty celulozy (vc. kolodii)
57554	Etery celulozy
57559	Ostatni celuloza a derivaty
5759	Plastické hmoty, j.n.
57591	Polymery vinylacetatu
57592	Polymery ostatnich vinylesteru, ost. polymery vinylu
57593	Silikony v prvotnich formach
57594	Kyselina algova, jeji soli, estery
57595	Prirodni polymery, modifikovane prir. polymery, j.n.
57596	Pryskyrice ropne, kumaronoindenove, polyterpeny, ap.
57597	Iontomenice na bazi polymeru etylenu, styrenu, PVC aj
579	Odpad, zbytky a šrot z hmot plastických
5791	Odpad, zbytky, šrot polymerů etylénu
5792	Odpad, zbytky, šrot polymerů styrénu
5793	Odpad, zbytky, šrot polyméru vinylchloridu
5799	Odpad, zbytky, šrot z plastických hmot ostatní
58	Plastické hmoty v neprvotních formách
581	Trubky, potrubí a hadice z hmot plastických
5811	Umělá střeva
5812	Trubky, potrubí, hadice, tvrdé
5813	Pružné trubky ap. s min. tlakem prasknutí 27,6 MPa
5814	Ost., nezpevněné, kombinované s materiály, ne fitinky
5815	Trubky, potrubí, hadice, nezpevněné, nekombinované
5816	Ostatní trubky, potrubí, hadice
5817	Fitinky pro trubky, hadice aj. z plastických hmot
582	Pláty, desky, blány, fólie a pásy z hmot plastických
5821	Pláty, desky, fólie aj. samolepící z plastických hmot
58211	Platy, desky aj. z plast. hmot, role, sirka do 20 cm
58219	Platy, desky aj. samolepici z plast. hmot, ostatni
5822	Ost.pláty,desky,fólie z plastických hmot,nelehčených
58221	Ost. platy, desky, blany, folie z polymeru etylenu
58222	Ost. platy, desky, blany, folie z polymeru propylenu
58223	Ost. platy, desky, blany, folie z polymeru styrenu
58224	Ost. platy, desky, blany ap. z polymeru vinylchloridu
58225	Ost. platy, desky, blany, folie z akrylovych polymeru
58226	Ost. desky aj. z polykarbonatu, alkalyd. pryskyrice
58228	Ost. platy, desky, blany z celulozy a derivatu, j.n.
58229	Ost. platy, desky, blany z ostatnich plastickych hmot
5829	Ost.pláty,desky, fólie, pásy z plast.hmot, lehčených
58291	Ost. platy, blany, pasy z plastickych hmot lehcenych
58299	Ost. platy, pasy, blany z ostatnich plastickych hmot
583	Monofily nad 1 mm, tyče, pruty, profily plastové
5831	Monofily, tyče, pruty, profily z polyméru etylénu
5832	Monofily, tyče, pruty ap. z polyméru vinylchloridu
5839	Monofily, tyče, pruty z ostatních plastických hmot
59	Chemické prostředky a výrobky, j.n.
591	Insekticidy, fungicidy, herbicidy ap. přípravky, pro maloobchod
5911	Insekticidy, pro maloobchod
5912	Fungicidy, pro maloobchod
5913	Herbicidy, prostředky k potlačení klíčení, regulaci růstu rostlin, pro maloobchod
5914	Dezinfekční prostředky, pro maloobchod
5919	Rodenticidy; mucholapky, sírou napuštěné pásky, knoty, svíčky aj., pro maloobchod
592	Škroby, inulin, lepek; látky albuminové; klihy
5921	Škroby, inulin, pšeničný lepek
59211	Psenicny skrob
59212	Kukuricny skrob
59213	Bramborovy skrob
59214	Maniokovy skrob
59215	Ostatni skroby
59216	Inulin
59217	Psenicny lepek, pr. suseny
5922	Albuminové látky, modifikované škroby, klihy
59221	Kasein
59222	Kaseinaty, ost. kaseinove derivaty, kaseinove klihy
59223	Albuminy, albuminaty, ostatni albuminove derivaty
59224	Zelatina a derivaty, vyzi klih, ostatni lepidla, j.n.
59225	Peptony, ost. proteinove latky, derivaty, j.n.
59226	Dextriny, ostatni modifikovane skroby
59227	Lepidla na bazi skrobu, dextrinu, ost. modif. skrobu
59229	Hotova lepidla a jine vyrobky, j.n., do 1 kg
593	Výbušniny a výrobky pyrotechnické
5931	Střeliviny, ostatní upravené výbušniny
59311	Streliviny
59312	Upravene vybusniny (ne streliviny)
5932	Bezpečnostní zápalnice, rozbušky, zapalovače apod.
5933	Ohňostroje, signalní světlice, dešťové rakety apod.
59331	Ohnostroje
59333	Signalni svetlice, destove rakety, mlhove signaly aj.
597	Přísady do olejů minerálních, mazadla ap. přípravky
5972	Látky proti klepaní motoru, korozi, okysličování ap.
59721	Latky proti klepani motoru
59725	Prisady do mazacich oleju
59729	Hotove prisady do ostatnich kapalin, j.n.
5973	Upravené kapaliny pro hydraulické převody apod.
59731	Kapaliny do hydralickych brzd, ostatni kapaliny
59733	Pripravky proti zamrzani, kapaliny k rozmrazovani
5977	Mazadla
59771	Pripravky k uprave materialu s ropnym aj. olejem
59772	Mazadla s ropnymi oleji, s oleji z zivicnych nerostu
59773	Pripravky k uprave materialu s oleji, tuky ne ropnymi
59774	Mazadla s oleji, tuky ne z ropy a zivicnych nerostu
598	Výrobky chemické různé jn.
5981	Chemické výrobky na bázi dřeva a pryskyřice
59811	Talovy olej, pr. rafinovany
59812	Zbytkove louhy ze zpracovani buniciny
59813	Klejopryskyrice, klovatina, borovicovy olej
59814	Kalafuna, kyseliny, silice pryskyricove, oleje
59818	Drevny dehet, kreosot, drevny lih, smoly apod.
5983	Umělé vosky, hotové vosky
59835	Vosky umele, hotove, z polyetylenglykolu
59839	Ostatni umele vosky, dalsi hotove vosky
5984	Směsi alkylbenzénu, směsi alkylnaftalénu, j.n.
5985	Chemické prvky, sloučeniny pro užití v elektronice
5986	Výrobky organické chemie
59861	Grafit umely, koloidni, polokoloidni, pripravky
59863	Hotove gumarenske urychlovace
59864	Aktivni uhli
59865	Aktivovane vyrobky z prirodnich nerostnych materialu
59867	Hotove zivne pudy ke kultivaci mikroorganismu
59869	Kompozitni diagnosticka nebo laboratorni cinidla,j.n.
5988	Katalyzátory a katalytické sloučeniny, j.n.
59881	Sdruzene katalyzatory s niklem, slouceninami
59883	Sdruzene katalyzatory s drahymi kovy, slouceninami
59885	Ostatni sdruzene katalyzatory
59889	Ostatni katalyzatory, katalyticke slouceniny
5989	Chemické výrobky a přípravky, j.n.
59891	Apretacni cinidla, cinidla k barveni textilii, papiru
59893	Sdruzene slouceniny zmekcovadel kaucuku a plast.hmot
59894	Pripravky, naplne do hasicich pristroju, granaty
59895	Modelovaci hmoty; pripravky pro zubni lekarstvi
59896	Moridla pro povrchovou upravu kovu
59897	Hotove prisady do cementu, malty, betonu
59898	Nezaruvzdorne malty, betony
59899	Ostatni chemicke vyrobky a pripravky
599	Zbytkové produkty chemického prům., j.n.; komunální odpad; kanalizační kaly; ost. odpady
5991	Komunální odpad; kanalizační kaly
5992	Zdravotnické odpady
5993	Odpadní organická rozpouštědla
5994	Odpadní kapaliny z moření kovu, hydraulické, brzdové, odmrazovací
5999	Ostatní odpad z chemického průmyslu a přidružených odvětví
6	Tržní výrobky tříděné hlavně podle materiálu
61	Kůže, kožené výrobky, j.n. a vydělané kožky
611	Kůže
6112	Imitace kůže se základem z kůže, kožešinového vlákna
6114	Ostatní kůže z hovězího dobytka, koní, bez srsti
61143	Kůže ze skotu, koní, vyčiněné, dále nezpracovné, mokré
61144	Kůže ze skotu, koní, vyčiněné, dále nezpracované, suché
61145	Kůže ze skotu, koní, vyčiněné, dále zpracované
6115	Ovčí, jehněčí kůže, zbavené srsti
61151	Ovci ap. kuze vycinene, precinene, dale neupravene
61152	Ovci ap. kuze vycinene na vzhled pergamenu, upravene
6116	Kozí, kozlečí kůže
61161	Kozi ap. kuze vycinene, precinene, dale neupravene
61162	Kozi ap. kuze vycinene na vzhled pergamenu, upravene
6117	Kůže ostatních zvířat, zbavené srsti
61171	Kuze z vepru
61172	Kuze z plazu
61179	Kuze z jinych zvirat
6118	Kůže specialně vyčiněné, dokončené, j.n.
61181	Semisove (vc. kombinaci semise) kuze
61183	Kuze lakovane, laminovane, metalizovane
612	Výrobky z kůže nebo imitace jn., výrobky sedlářské ap.
6122	Sedlářské a řemenářské výrobky pro zvířata
6129	Ostatní výrobky z kůže a imitace kůže
613	Kožky tříslené, vyčiněné (vč. hlav, ohonů, tlap ap.)
6131	Celé kožky, př. bez hlavy, ohonu, tlap, nesestavené
61311	Cele kozky z norka, pr. bez hlav, ohonu, tlap
61319	Ostatni kozky, cele, pr. bez hlav, ohonu, tlap
6132	Hlavy, ohony, tlapy, další kousky, odřezky
6133	Celé kožky, kousky, odřezky, sestavené
62	Výrobky z pryže, j.n.
621	Výrobky pryžové (lepidla, desky, pláty, tyče aj.)
6211	Kaučukové směsi, nevulkanizované, v prvotních formách
62111	Kaucuk smichany se sazemi, silikou
62112	Roztoky, disperze z kaucuku
62119	Ostatni kaucukove smesi
6212	Ostatní formy, výrobky z nevulkanizovaného kaučuku
62121	Protektory v pasech
62129	Zbyle ost. formy, vyrobky z nevulkanizovaneho kaucuku
6213	Nitě a kordy z vulkanizovaného kaučuku
62131	Nite, kord z vulkanizovaneho kaucuku
62132	Desky ap. z netvrzeneho vulkaniz. lehceneho kaucuku
62133	Desky ap. z netvrzeneho vulkaniz. nelehceneho kaucuku
6214	Hadice, trubky a potrubí z netvrzeného vulkan.kaučuku
62141	Hadice ap. kaucukove nevyztuzene, nekomb. s materialy
62142	Hadice ap. kaucukove, vyztuzene, kombinovane s kovy
62143	Hadice ap. kaucukove, vyztuzene, komb. s text. mater.
62144	Hadice ap. kaucukove, vyztuzene, komb. s ost. mater.
62145	Hadice, trubky, potrubi kaucukove, s fitinky
625	Pneumatiky pryžové a duše
6251	Pneumatiky pro osobní vozy
6252	Pneumatiky pro autobusy a nákladní automobily
6253	Pneumatiky, nové, pro letadla
6254	Pneumatiky pro motocykly a jízdní kola
62541	Pneumatiky, nove, pro motocykly
62542	Pneumatiky, nove, pro jizdni kola
6255	Ostatní pneumatiky
62551	Pneumatiky s diagonalnim behounem
62559	Pneumatiky ostatni
6259	Ostatní pneumatiky a duše do pneu
62591	Duse do pneumatik
62592	Protektorovane pneumatiky
62593	Pouzite pneumatiky
62594	Plne, nizkotlake obruce, vymenitelne behouny plaste
629	Výrobky kaučukové jn. (zdravotn. aj., kaučuk tvrdý ap.)
6291	Zdravotnické a lekárenské výrobky z kaučuku
62911	Prezervativy
62919	Ostatni zdravotnicke a lekarenske vyrobky
6292	Pásy pro dopravníky, převody, z vulkanizovaného kaučuku
62921	Pásy převodové, z vulkanizovaného kaučuku
62922	Pásy pro dopravníky, z vulkanizovaného kaučuku
6299	Tvrdý kaučuk, vyr. z tvrzeného a netvrzeného kaučuku
62991	Tvrdy kaucuk (ebonit) ve vsech formach, vyrobky
62992	Vyrobky z netvrzeneho lehceneho vulkaniz. kaucuku
62999	Vyrobky z netvrzeneho nelehceneho vulkaniz. kaucuku
63	Výrobky z korku a dřeva (kromě nábytku)
633	Výrobky z korku
6331	Výrobky z přírodního korku
63311	Zatky
63319	Ostatni vyrobky z prirodniho korku
6332	Korek aglomerovaný (př. s pojivem), výrobky
63321	Kostky, desky, pruhy, pasy, dlazdice, pevne valce
63329	Ostatni vyrobky z aglomerovaneho korku
634	Dýhy, překližky, desky třískové aj. dřevo opracované
6341	Dýhové listy, fólie aj. dřevo řezané apod. do 6 mm
63411	Jehlicnate dyhove listy aj. drevo rezane ap. do 6 mm
63412	Nejehlicnate dyhove listy aj., drevo rezane do 6 mm
6342	Dřevo zušlechtšné a rekonstituované
63421	Zuslechtene drevo, kostky, desky, pasy, profily
63422	Triskove ap. desky ze dreva pr. aglomerovane
63423	Triskove ap. desky z drevnateho materialu, ne dreva
